,Year,Annual_Cyclones,Sahel_Annual,AMO_Annual,ENSO_Annual,TEMP_Annual,precip,Conus_temp,NE_temp,nao_sst,nta_index,TNA_sst,AMM_sst,Nina_index,TSA_index,NAO_Jones,rh_value,NJ_precip_x,NJ_precip_y,Cyclone
41,1991,0,0.3188976377952756,-0.1634166666666666,0.3,79.24000000000001,-0.05,0.41,0.6,0.278,-0.398,-0.272,-2.446,0.684,-0.112,-0.115,31.724,0.52,8.94,0
42,1992,1,0.3425196850393701,-0.2505,1.525,78.7,1.0,-1.61,-1.6,-0.002,-0.302,-0.124,0.164,0.162,-0.628,0.6675,31.036,0.43,8.85,0
43,1993,0,-0.3700787401574803,-0.24225,0.4,79.78,0.77,-1.08,0.9,-0.814,-0.21,-0.092,-2.362,0.278,0.238,-1.335,33.292,1.06,9.48,0
44,1994,1,3.52755905511811,-0.20875,0.175,78.7,-0.11,0.27,0.1,0.372,-0.306,-0.286,-2.234,0.514,-0.162,-1.6025,37.018,0.47,8.89,0
45,1995,2,0.0433070866141732,0.1028333333333333,0.625,79.74000000000001,-0.37,0.66,1.1,0.436,0.322,0.484,2.634,-0.518,0.166,-0.655,29.757,-2.49,5.93,1
46,1996,1,-0.1181102362204724,-0.0901666666666666,-0.675,78.66000000000001,1.33,-0.34,0.0,0.444,-0.016,0.1,-0.346,-0.328,0.426,-0.255,34.792,0.76,9.18,0
47,1997,0,-0.9173228346456692,0.0193333333333333,-0.175,78.85999999999999,0.04,0.26,-0.7,-0.092,0.028,0.378,-0.032,1.838,-0.026,0.0075,35.077,-0.61,7.81,0
48,1998,0,1.8622047244094488,0.3396666666666666,1.625,81.1,-0.1,2.63,1.4,-0.928,0.314,0.578,1.924,-0.938,0.544,-0.2275,38.563,-3.84,4.58,0
49,1999,2,3.885826771653544,0.0849166666666666,-1.225,79.3,-0.49,0.33,2.3,0.436,-0.034,0.258,0.712,-1.134,0.44,-1.68,38.322,6.45,14.87,2
50,2000,2,-0.2007874015748031,-0.0049166666666666,-1.2499999999999998,78.97999999999999,-1.49,0.97,-1.5,0.046,-0.202,0.004,-0.74,-0.576,0.134,-0.2625,35.99,2.14,10.56,0
51,2001,1,0.2165354330708661,0.0855833333333333,-0.475,78.34,-0.3,1.3,0.7,-0.114,0.106,0.374,1.284,-0.162,0.192,-0.6075,33.417,-1.96,6.46,0
52,2002,2,-3.059055118110237,0.0313333333333333,0.05,79.94,-0.16,1.66,2.9,-0.162,-0.112,0.038,-1.914,0.904,0.174,-1.6,32.486,-0.74,7.68,0
53,2003,2,3.165354330708662,0.1975833333333333,0.475,78.93999999999998,0.14,1.49,1.6,-0.104,0.31,0.526,1.518,0.136,0.402,-1.0575,35.292,2.76,11.18,0
54,2004,0,-0.9881889763779528,0.1724166666666666,0.2749999999999999,79.78,1.19,-0.62,0.6,-0.068,0.318,0.524,2.76,0.552,0.138,-0.1825,36.387,2.46,10.88,0
55,2005,3,0.8622047244094488,0.25775,0.5,80.02,-0.25,1.77,3.3,0.068,0.484,0.754,4.12,-0.098,-0.132,0.2275,34.888,-5.11,3.31,2
56,2006,1,0.1929133858267716,0.2325,-0.675,79.12,0.18,0.85,1.0,-0.724,0.364,0.568,1.302,0.336,0.308,-1.1575,37.163,1.19,9.61,0
57,2007,1,-0.6220472440944883,0.1133333333333333,0.1249999999999999,80.34,-0.23,1.74,1.1,-0.004,-0.022,0.122,0.182,-0.85,0.238,-1.415,36.998,-2.94,5.48,0
58,2008,1,2.322834645669292,0.1038333333333333,-1.35,78.72,0.65,0.33,0.8,-0.468,0.178,0.458,0.796,-0.36,0.484,-0.85,35.414,0.08,8.5,0
59,2009,0,1.4330708661417324,0.0046666666666666,-0.625,80.99999999999999,0.42,0.11,-0.3,-0.476,0.194,0.378,-0.03,0.606,0.372,-0.5025,39.086,2.96,11.38,0
60,2010,0,3.515748031496063,0.3150833333333333,0.975,80.64,0.73,1.56,2.8,-0.744,0.638,0.922,4.646,-1.252,0.518,-1.685,43.54,-2.73,5.69,0
61,2011,1,-0.84251968503937,0.0672499999999999,-1.0499999999999998,79.64000000000001,-0.62,2.22,2.8,-0.54,0.226,0.462,1.836,-0.676,0.238,-0.38,41.68,14.37,22.79,0
62,2012,0,4.692913385826772,0.1788333333333333,-0.675,79.20000000000002,-0.56,2.1,2.3,-1.418,0.358,0.526,2.346,0.25,-0.004,-1.6,41.928,0.65,9.07,0
63,2013,1,0.7165354330708662,0.1316666666666666,-0.35,79.44,1.0,1.2,1.0,0.43,0.272,0.498,2.124,-0.314,0.166,0.9375,42.924,-1.64,6.78,0
64,2014,1,2.15748031496063,0.0668333333333333,-0.3,79.5,0.48,0.38,0.2,-0.378,0.204,0.278,-0.356,0.2,0.26,-0.505,39.925,-1.84,6.58,0
65,2015,0,4.429133858267717,0.0789166666666666,0.55,80.26,-0.12,1.6,2.6,-0.7,0.236,0.434,0.352,1.828,0.116,-0.8675,38.517,-2.56,5.86,0
66,2016,2,4.251968503937008,0.3075,1.775,80.94000000000001,1.23,1.77,3.7,-0.478,0.34,0.438,1.122,-0.458,0.51,1.3275,40.89,-2.89,5.53,1
67,2017,1,2.803149606299213,0.2804166666666667,-0.05,80.02000000000001,0.61,1.14,1.2,0.072,0.458,0.568,2.246,-0.138,0.44,0.71,38.612,-0.98,7.44,0
68,2018,0,1.4,0.0334999999999999,-0.75,81.02000000000001,1.53,1.97,3.9,1.708,-0.186,-0.012,-2.47,0.312,0.428,1.0925,39.858,4.71,13.13,0
69,2019,2,1.4,0.1390833333333333,0.7,81.55999999999999,0.11,2.07,2.1,-0.968,0.13,0.42,0.684,0.282,0.488,-1.03,42.053,-3.44,4.98,1
70,2020,1,1.6,0.2681666666666666,0.3999999999999999,80.99999999999999,-0.08,1.9,2.8,-0.018,0.15,0.618,1.178,-0.668,0.456,-0.5725,42.212,2.08,10.5,0
71,2021,0,1.6,0.2225833333333333,-0.8500000000000001,80.06000000000002,1.05,2.21,2.5,-0.278,0.15,0.33,-1.48,-0.55,0.83,-0.925,39.227,4.51,12.93,0
72,2022,3,1.8,0.2469166666666666,-1.0,80.0,-0.17,2.83,2.7,0.04,0.15,0.478,0.524,-0.914,0.44,-1.61,43.121,-2.97,5.45,2
